"varietal","average_price_varietal"
"Mantonico","                28.00"
"Manzoni","                22.33"
"Marawi","                35.00"
"Maria Gomes","                10.67"
"Maria Gomes-Bical","                25.00"
"Marsanne","                36.79"
"Marsanne-Roussanne","                28.82"
"Marsanne-Viognier","                30.00"
"Maturana Blanca","                22.00"
"Mauzac","                16.00"
"Melon","                16.63"
"Melon de Bourgogne","                19.37"
"Meritage","                19.10"
"Merlot","                26.00"
"Merlot-Cabernet Sauvignon","                55.00"
"Merseguera-Sauvignon Blanc","                 9.50"
"Meseguera","                24.00"
"Minutolo","                18.00"
"Misket","                19.00"
"Morava","                26.00"
"Morillon","                30.14"
"Morio Muskat","                17.00"
"Moscatel","                24.16"
"Moscatel de Alejandría","                18.67"
"Moscatel Galego Branco","                25.00"
"Moscatel Graúdo","                13.00"
"Moscato","                12.81"
"Moscato Giallo","                21.00"
"Moschofilero","                15.36"
"Moschofilero-Chardonnay","                13.00"
"Moscofilero","                14.00"
"Mtsvane","                22.17"
"Müller-Thurgau","                19.33"
"Muscadel","                33.00"
"Muscadelle","                33.33"
"Muscadet","                 9.67"
"Muscadine","                25.00"
"Muscat","                23.32"
"Muscat-Viognier","                12.00"
"Muscat Blanc","                19.36"
"Muscat Blanc à Petits Grains","                14.33"
"Muscat Canelli","                17.75"
"Muscat of Alexandria","                 9.50"
"Muscat Ottonel","                26.33"
"Muscatel","                19.00"
"Muskat","                20.50"
"Muskat Ottonel","                14.11"
"Muskateller","                25.43"
"Narince","                21.40"
"Nascetta","                27.00"
"Nasco","                20.00"
"Nebbiolo","                41.50"
"Nerello Mascalese","                22.00"
"Nero d'Avola","                21.20"
"Neuburger","                30.55"
"Nielluciu","                24.00"
"Nosiola","                22.17"
"Nuragus","                15.80"
"Olasrizling","                25.00"
"Ondenc","                16.50"
"Orange Muscat","                20.58"
"Orangetraube","                22.33"
"Pallagrello","                29.64"
"Pallagrello Bianco","                30.43"
"Palomino","                25.00"
"Pansa Blanca","                17.39"
"Papaskarasi","                24.00"
"Paralleda","                10.00"
"Pardina","                11.00"
"Passerina","                15.35"
"Pecorino","                21.95"
"Pedro Ximénez","                24.20"
"Petit Courbu","                19.00"
"Petit Manseng","                26.62"
"Petite Arvine","                30.00"
"Petite Sirah","                39.40"
"Petroulianos","                25.00"
"Picapoll","                22.00"
"Picolit","                20.00"
"Picpoul","                21.38"
"Picpoul Blanc","                25.33"
"Pigato","                22.00"
"Pignoletto",NULL
"Pinot-Chardonnay","                28.67"
"Pinot Auxerrois","                24.17"
"Pinot Bianco","                24.76"
"Pinot Blanc","                19.11"
"Pinot Blanc-Chardonnay","                22.00"
"Pinot Blanc-Viognier","                19.00"
"Pinot Grigio","                15.34"
"Pinot Grigio-Chardonnay","                10.00"
"Pinot Grigio-Sauvignon Blanc","                35.00"
"Pinot Gris","                21.95"
"Pinot Gris-Gewürztraminer","                20.00"
"Pinot Nero","                12.00"
"Pinot Noir","                34.53"
"Piquepoul Blanc","                13.00"
"Plavac Mali","                65.00"
"Plyto","                19.50"
"Portuguese Red","                12.00"
"Portuguese White","                15.74"
"Posip","                23.09"
"Premsal","                15.00"
"Prié Blanc","                21.67"
"Provence white blend","                23.77"
"Rabigato","                33.00"
"Rebula","                22.67"
"Red Blend","                19.28"
"Rhône-style Red Blend","                19.00"
"Rhône-style White Blend","                30.40"
"Ribolla Gialla","                27.22"
"Rieslaner","                40.40"
"Riesling","                27.94"
"Riesling-Muscat","                12.00"
"Rivaner","                14.50"
"Rkatsiteli","                21.15"
"Robola","                19.29"
"Roditis","                13.39"
"Roditis-Moschofilero","                11.00"
"Rolle","                22.38"
"Romorantin","                22.40"
"Roscetto","                24.00"
"Rosé","                14.25"
"Roter Traminer","                33.00"
"Roter Veltliner","                30.29"
"Rotgipfler","                29.65"
"Roussanne","                27.75"
"Roussanne-Grenache Blanc","                18.00"
"Roussanne-Marsanne","                32.14"
"Roussanne-Viognier","                28.26"
"Roviello","                28.00"
"Ryzlink Rýnský","                40.00"
"Sacy","                19.00"
"Saint Jeannet","                13.00"
"Sämling","                15.00"
"Sangiovese","                15.83"
"Sarba","                10.00"
"Sauvignon","                25.56"
"Sauvignon-Sémillon","                12.00"
"Sauvignon Blanc","                19.30"
"Sauvignon Blanc-Assyrtiko","                20.00"
"Sauvignon Blanc-Chardonnay","                17.20"
"Sauvignon Blanc-Chenin Blanc","                15.83"
"Sauvignon Blanc-Sauvignon Gris","                45.00"
"Sauvignon Blanc-Semillon","                22.02"
"Sauvignon Blanc-Verdejo","                12.00"
"Sauvignon Gris","                21.16"
"Sauvignon Musqué","                21.50"
"Sauvignonasse","                25.00"
"Savagnin","                45.11"
"Savatiano","                13.78"
"Scheurebe","                23.81"
"Schwartzriesling",NULL
"Sémillon","                20.83"
"Semillon-Chardonnay","                 9.43"
"Semillon-Sauvignon Blanc","                20.77"
"Seyval Blanc","                17.16"
"Shiraz","                37.67"
"Shiraz-Viognier","                20.00"
"Sideritis","                23.00"
"Siegerrebe","                14.00"
"Silvaner","                30.98"
"Silvaner-Traminer","                25.00"
"Siria","                15.69"
"Sparkling Blend","                20.60"
"Spätburgunder","                20.50"
"Steen","                 8.33"
"Sylvaner","                22.86"
"Symphony","                16.00"
"Syrah","                26.86"
"Tai","                10.00"
"Tămâioasă Românească","                11.00"
"Tamianka","                20.00"
"Tamjanika","                20.00"
"Tempranillo","                18.80"
"Tempranillo Blanco","                29.25"
"Tempranillo Blend","                12.00"
"Terret Blanc",NULL
"Thrapsathiri","                25.00"
"Timorasso","                45.75"
"Tocai","                20.82"
"Tocai Friulano","                24.22"
"Tokaji","                31.00"
"Tokay Pinot Gris","                26.53"
"Torbato","                21.00"
"Torrontés","                13.06"
"Trajadura","                11.67"
"Traminac","                28.00"
"Traminer","                20.15"
"Traminette","                15.59"
"Trebbiano","                21.74"
"Trebbiano di Lugana","                22.00"
"Trebbiano Spoletino","                22.00"
"Treixadura","                17.50"
"Trincadeira","                24.00"
"Trousseau Gris","                22.00"
"Tsolikouri","                14.00"
"Turbiana","                22.55"
"Ugni Blanc","                27.50"
"Ugni Blanc-Colombard","                10.33"
"Valvin Muscat","                13.00"
"Veltliner","                29.50"
"Verdeca","                16.67"
"Verdejo","                15.89"
"Verdejo-Sauvignon Blanc","                12.00"
"Verdejo-Viura","                11.73"
"Verdelho","                15.78"
"Verdicchio","                20.56"
"Verdil","                17.00"
"Verdosilla","                17.00"
"Verduzzo","                37.67"
"Verduzzo Friulano ","                37.00"
"Vermentino","                22.35"
"Vernaccia","                18.52"
"Vespaiolo","                10.00"
"Vidal","                14.00"
"Vidal Blanc","                19.28"
"Vignoles","                13.35"
"Vilana","                13.38"
"Viognier","                24.68"
"Viognier-Chardonnay","                17.57"
"Viognier-Gewürztraminer","                15.00"
"Viognier-Grenache Blanc","                28.50"
"Viognier-Marsanne","                20.38"
"Viognier-Pinot Gris","                20.00"
"Viognier-Roussanne","                23.67"
"Viognier-Valdiguié","                17.00"
"Viosinho","                22.60"
"Vital",NULL
"Vitovska","                53.25"
"Viura","                14.18"
"Viura-Chardonnay","                10.65"
"Viura-Sauvignon Blanc","                13.00"
"Viura-Verdejo","                14.33"
"Weissburgunder","                27.23"
"Weisser Burgunder","                31.80"
"Welschriesling","                18.67"
"White Blend","                20.84"
"White Riesling","                15.25"
"Xarel-lo","                18.69"
"Xinisteri","                10.00"
"Xinomavro","                15.00"
"Xynisteri","                18.50"
"Yapincak","                18.00"
"Zelen",NULL
"Zibibbo","                26.77"
"Zierfandler","                35.78"
"Zierfandler-Rotgipfler","                23.75"
"Žilavka","                14.67"
"Zinfandel","                21.67"
"Zlahtina","                16.00"
"Zweigelt","                15.00"
