"ID","alcohol","category","country","description","designation","price","rating","region","subregion","subsubregion","title","url","varietal","vintage","winery"
"698","15","Dessert","France","Gorgeous orange blossom, honeysuckle and white-peach aromas perfume this pretty vin doux naturel. It's bold in apricot and stone-fruit flavors and lip-smackingly sweet, but maintains a mineral elegance and freshness from nose to finish. Balanced in alcohol, its finish lingers sweetly and with uncloying purity. Enjoy now–2022.","Domaine du Paparotier",NULL,"91","Rhône Valley","Muscat de Beaumes de Venise",NULL,"RhonéA 2017 Domaine du Paparotier  (Muscat de Beaumes de Venise)","https://www.winemag.com/buying-guide/rhonea-2017-domaine-du-paparotier-muscat-de-beaumes-de-venise-307952/","Muscat Blanc à Petits Grains","2017","RhonéA"
"772","15.5","Dessert","France","This is a ripe, intensely fragrant vin doux naturel chock full of apricot and floral exuberance. Tasted after seven years in the bottle, it's still bold and concentrated in fruit, but with flavors gearing towards candied apricot and fig rather than primary fruit. Still, it's an unctuous, appealing wine that's integrated in alcohol and long on the finish. Enjoy now.",NULL,"22","90","Rhône Valley","Muscat de Beaumes de Venise",NULL,"Château du Trignon 2011  Muscat de Beaumes de Venise","https://www.winemag.com/buying-guide/chateau-du-trignon-2011-muscat-de-beaumes-de-venise-307898/","Muscat Blanc à Petits Grains","2011","Château du Trignon"
"1155","15","Dessert","France","Whiffs of yellow apple and pear seem waxy and slightly pressed on the nose, but appear with more purity on the palate of this Muscat vin doux naturel. It's a fresh, finely textured wine with crisp quince and apple flavors and integrated alcohol and sweetness. A honeyed slick extends the finish.","Beaumes to the Bone","18","89","Rhône Valley","Muscat de Beaumes de Venise",NULL,"Ravoire et Fils NV Beaumes to the Bone  (Muscat de Beaumes de Venise)","https://www.winemag.com/buying-guide/ravoire-et-fils-nv-beaumes-to-the-bone-muscat-de-beaumes-de-venise-307985/","Muscat Blanc à Petits Grains",NULL,"Ravoire et Fils"
"1175","15","Dessert","France","Made from a blend of 75% white and 25% black Muscat à petits grains, this light-footed vin doux naturel presents inviting whiffs of raspberry and caramel. Apricot, berry and white-blossom notes on the palate are concentrated and a touch candied in character. There's a tinge of alcoholic warmth throughout but this is a charmingly sweet and fruity tipple. Enjoy now–2022.",NULL,"32","89","Rhône Valley","Muscat de Beaumes de Venise",NULL,"Domaine des Bernardins 2017  Muscat de Beaumes de Venise","https://www.winemag.com/buying-guide/domaine-des-bernardins-2017-muscat-de-beaumes-de-venise-307961/","Muscat","2017","Domaine des Bernardins"
"1217","15","Dessert","France","Tasted four years after bottling, this vin doux naturel's honeysuckle and stone-fruit aromas are slightly muted on the nose. Delicate blossom and white-melon flavors are fresher on the palate but still suggest a tinge of savoriness reminiscent of fresh wheat. Still, it's a delicately textured dessert wine with integrated alcohol and lacy sweetness that lingers on the finish. Drink now.","Elégans",NULL,"89","Rhône Valley","Muscat de Beaumes de Venise",NULL,"Domaine de Coyeux 2014 Elégans  (Muscat de Beaumes de Venise)","https://www.winemag.com/buying-guide/domaine-de-coyeux-2014-elegans-muscat-de-beaumes-de-venise-307936/","Muscat Blanc à Petits Grains","2014","Domaine de Coyeux"
"1273","15","Dessert","France","Inviting white-blossom and honeydew aromas mingle into savory notes of fresh grain and green herb in this wine. White-peach, honey and hibiscus-nectar flavors are delicately sweet on the palate but have a twinge of grain too. It's a balanced vin doux naturel, however, harmonizing alcohol and sweetness. A honey tone charms on the finish.","Carte Or",NULL,"89","Rhône Valley","Muscat de Beaumes de Venise",NULL,"RhonéA 2017 Carte Or  (Muscat de Beaumes de Venise)","https://www.winemag.com/buying-guide/rhonea-2017-carte-or-muscat-de-beaumes-de-venise-307950/","Muscat Blanc à Petits Grains","2017","RhonéA"
"1382","15.5","Dessert","France","Intense floral perfume and ripe muscat notes are lifted by a whiff of alcohol in this vin doux naturel. A decade after bottling, it's luscious but shows maturation notes with apricot and honeysuckle flavors a bit candied rather than fresh. Plush on the palate, it lingers with some heat on the finish. Enjoy now.",NULL,"17","88","Rhône Valley","Muscat de Beaumes de Venise",NULL,"Domaine de Coyeux 2009  Muscat de Beaumes de Venise","https://www.winemag.com/buying-guide/domaine-de-coyeux-2009-muscat-de-beaumes-de-venise-307893/","Muscat Blanc à Petits Grains","2009","Domaine de Coyeux"
"1941","18","Dessert","US","Light in the glass for a dessert wine, this unique bottling of late harvest Pinot Noir offers raisin, sandalwood and cedar on the nose. The palate is ripe and pruney with flavors of sour raisin and smoked cedar.","Euphoria Late Harvest","32","85","California","Central Coast","Santa Cruz Mountains","Byington 2014 Euphoria Late Harvest Pinot Noir (Santa Cruz Mountains)","https://www.winemag.com/buying-guide/byington-2014-euphoria-late-harvest-pinot-noir-santa-cruz-mountains-308217/","Pinot Noir","2014","Byington"
"1951","18.5","Dessert","US","An uncommon offering of sweet Viognier, this bottling shows honeydew, crushed stone and orange peel on the nose. It's a tad oily on the palate with petrol-laced flavors of sour lime peel.","VP","29","86","California","Central Coast","Santa Clara Valley","Lion Ranch NV VP Viognier (Santa Clara Valley)","https://www.winemag.com/buying-guide/lion-ranch-nv-vp-viognier-santa-clara-valley-308234/","Viognier",NULL,"Lion Ranch"
"2256","7.5","Dessert","Germany","Perfumed notes of blossom and lemon zest introduce this zesty, featherlight dessert Riesling. Concentrated honey, tangerine and pineapple flavors seem to dart and dance on the palate, accentuated by high-toned acidity and an enticing whiff of sweat. A stunning wine that's likely to develop complexity well through 2030.","Binger Scharlachberg Beerenauslese Grosse Lage","345","96","Rheinhessen",NULL,NULL,"Prinz Salm 2017 Binger Scharlachberg Beerenauslese Grosse Lage Riesling (Rheinhessen)","https://www.winemag.com/buying-guide/prinz-salm-2017-binger-scharlachberg-beerenauslese-grosse-lage-riesling-rheinhessen/","Riesling","2017","Prinz Salm"
"2500","18.5","Dessert","US","This fortified rosé is in its own class. With 110 g/L of residual sugar and 18.5% alcohol, this is close to a Port in its overall makeup. It has concentrated flavors of marzipan, candied fruits, orange marmalade and rock candy. Drink now and over the next five years.","Ratafia","27","90","Oregon","Willamette Valley","Eola-Amity Hills","Björnson 2016 Ratafia Rosé (Eola-Amity Hills)","https://www.winemag.com/buying-guide/bjornson-2016-ratafia-rose-eola-amity-hills/","Rosé","2016","Björnson"
"3303","13","Dessert","France","A blend of ripe, unctuous Sémillon with some crisper Sauvignon Blanc has given a honeyed, candied-fruit-flavored wine. It is really rich while still having the essential acidity. Drink the wine now, but it will be better from 2020.",NULL,"22","89","Southwest France","Monbazillac",NULL,"Château Kalian 2015  Monbazillac","https://www.winemag.com/buying-guide/chateau-kalian-2015-monbazillac/","Bordeaux-style White Blend","2015","Château Kalian"
"3330","13.9","Dessert","US","This dessert wine is quite sweet, with candied flavors of peach, apricot and papaya. It shows a decent balance between concentrated fruit tones and bright acidity.","Dolce Vino","22","87","Oregon","Oregon Other","Oregon","Apolloni 2014 Dolce Vino Viognier (Oregon)","https://www.winemag.com/buying-guide/apolloni-2014-dolce-vino-viognier-oregon-305812/","Viognier","2014","Apolloni"
"3414","8.2","Dessert","US","Aromas of slightly overripe apple, pineapple and pear are followed by sweet, rich, drawn-out fruit flavors. The palate is enjoyable, but the aromas don't entirely sync up.","Late Harvest Estate Dessert Wine Wilridge Vineyard","30","87","Washington","Columbia Valley","Naches Heights","Wilridge 2016 Late Harvest Estate Dessert Wine Wilridge Vineyard Pinot Gris (Naches Heights)","https://www.winemag.com/buying-guide/wilridge-2016-late-harvest-estate-dessert-wine-wilridge-vineyard-pinot-gris-naches-heights-305577/","Pinot Gris","2016","Wilridge"
"3668","10.5","Dessert","US","This bears little resemblance to previous versions; though listed as a dessert wine, it is only passingly sweet. Perhaps orange wine is a better description, with some 21 grapes in the blend, principally various Muscat clones. It's an odd mix of grainy sugar and astringent phenolics, and will not readily accompany any desserts with the possible exception of bitter chocolate.","Tootsie","22","86","Oregon","Oregon Other","Oregon","Maragas 2016 Tootsie White (Oregon)","https://www.winemag.com/buying-guide/maragas-2016-tootsie-white-oregon-305947/","White Blend","2016","Maragas"
"3891","9.5","Dessert","Germany","Notes of yellow raisin, preserved apple and pear are accented by spice and earth in this unique Pinot Noir dessert wine. It's sweet and a bit cloying but balanced by fresh acidity and rambling savory complexities. Enjoy now.",NULL,"16","85","Rheinhessen",NULL,NULL,"Desire 2014 Pinot Noir-Gamay (Rheinhessen)","https://www.winemag.com/buying-guide/desire-2014-pinot-noir-gamay-rheinhessen/","Pinot Noir-Gamay","2014","Desire"
"4231","12.1","Dessert","US","This is a smooth, balanced and lovely dessert wine, moderate in sweetness and heat, with lovely aromas and flavors of rose water, fresh and dried apricot and honeycomb. It will do well on its own, or as an accompaniment to a wide range of cheeses and spicy desserts.","Estate Late Harvest","28","92","California","Sonoma","Sonoma Mountain","Belden Barns NV Estate Late Harvest Viognier (Sonoma Mountain)","https://www.winemag.com/buying-guide/belden-barns-nv-estate-late-harvest-viognier-sonoma-mountain/","Viognier",NULL,"Belden Barns"
"4387","10","Dessert","US","Sweet, delicate and beautifully balanced, this wine has pure peach, apricot and honeydew melon flavors, a smooth texture and tangy acidity underneath. It should be great with a cheese course.","Late Harvest Sweet","25","91","California","Mendocino County","Anderson Valley","Navarro 2017 Late Harvest Sweet Muscat Blanc (Anderson Valley)","https://www.winemag.com/buying-guide/navarro-2017-late-harvest-sweet-muscat-blanc-anderson-valley/","Muscat Blanc","2017","Navarro"
"4422","15","Dessert","US","This powerful dessert wine offers heady aromas of orange peel, almonds and honey followed by sweet, vibrant and concentrated fruit and nut flavors. It's full bodied, fully sweet but not sugary, and well balanced by acidity.","Essensia","25","91","California","California Other","California","Quady 2016 Essensia Orange Muscat (California)","https://www.winemag.com/buying-guide/quady-2016-essensia-orange-muscat-california/","Orange Muscat","2016","Quady"
"4723","11","Dessert","Italy","Made with dried Moscato grapes, this savory dessert wine opens with aromas of dried apricot and candied lemon that carry over to the elegant palate, with rosemary honey and toasted almond. It's well balanced with a long finish.","Passito","45","91","Central Italy","Umbria",NULL,"Barberani 2014 Passito Moscato (Umbria)","https://www.winemag.com/buying-guide/barberani-2014-passito-moscato-umbria/","Moscato","2014","Barberani"
"4869","17.1","Dessert","US","This tiny-production dessert wine delights in its richly wound layers of cherry, candied orange and rose. Light orange-pink in color, it invites one in and delivers an intense experience buoyed by impressive underlying acidity.","Late Harvest","24","90","California","Sonoma","Petaluma Gap","Keller 2013 Late Harvest Pinot Gris (Petaluma Gap)","https://www.winemag.com/buying-guide/keller-2013-late-harvest-pinot-gris-petaluma-gap/","Pinot Gris","2013","Keller"
"4873","13.5","Dessert","US","A blend of 46% Sauvignon Blanc, 37% Riesling and 17% Gewürztraminer—all left to develop botrytis on the vines—this wine shows a petrol character that's intense on the nose. The palate is viscous and rich in flavors of hazelnut, pineapple and honey. It winds its way to lingering, balanced finish.","Violetta Late Harvest","85","90","California","Napa","Napa Valley","Grgich Hills 2014 Violetta Late Harvest White (Napa Valley)","https://www.winemag.com/buying-guide/grgich-hills-2014-violetta-late-harvest-white-napa-valley/","White Blend","2014","Grgich Hills"
"5029","15","Dessert","US","Quite sweet but not heavy in body, this fruity, rich and concentrated wine is filled with sweet plum and bright cherry flavors, has a sugary texture and lingering finish.","Elysium","25","88","California","California Other","California","Quady 2016 Elysium Black Muscat (California)","https://www.winemag.com/buying-guide/quady-2016-elysium-black-muscat-california/","Black Muscat","2016","Quady"
"5318","17","Dessert","US","This small offering of late-harvest richness is varietal in its full embrace of mushroom earth and woody tannin, the fruit rich in strawberry and cherry cobbler.","Late Harvest","24","88","California","Sonoma","Petaluma Gap","Keller 2013 Late Harvest Pinot Noir (Petaluma Gap)","https://www.winemag.com/buying-guide/keller-2013-late-harvest-pinot-noir-petaluma-gap/","Pinot Noir","2013","Keller"
"5934","9","Dessert","Austria","Citrus richness sprays from the glass: Sunny, ripe lemon and zesty tangerine are edged with the earthy tang of botrytis and honey. Luscious sweetness and concentrated acidity appear at full tilt on the tangy palate, but it is the lemon that lasts on the finish, leaving this incredible richness and a fresh aftertaste. Drink until 2035.","Ruster Ausbruch","45","97","Burgenland",NULL,NULL,"Gunter Triebaumer 2015 Ruster Ausbruch Welschriesling (Burgenland)","https://www.winemag.com/buying-guide/gunter-triebaumer-2015-ruster-ausbruch-welschriesling-burgenland/","Welschriesling","2015","Gunter Triebaumer"
"6003","11.5","Dessert","Austria","Earthy botrytis and a touch of maple syrup spice inform the lusciously rich, honeyed aromas. A spirity strength tingles on the nose. The palate streams across the tongue in generous sweetness, while spirit and spiky acidity counter this and leave you with a very lasting impression of barley sugar. Lemon and caramel are the chief markers that echo long after the last sip.","Cuvée Klaus Beerenauslese","29","94","Burgenland",NULL,NULL,"Steindorfer 2015 Cuvée Klaus Beerenauslese Pinot Blanc (Burgenland)","https://www.winemag.com/buying-guide/steindorfer-2015-cuvee-klaus-beerenauslese-pinot-blanc-burgenland/","Pinot Blanc","2015","Steindorfer"
"6027","11.5","Dessert","Austria","Notions of honeyed, candied richness reach the nose, spiked with a vivid dollop of citrus sharpness. This sweet Spätlese promises thrill and delivers it with notions of apple jelly, tart passion fruit and tropical hints of candied pineapple. Sharp acid counters the richness in the most delicious fashion. Follow the suggestions on the label and pair this with Szechuan pepper and red hot chilies to achieve Asian magic. Fruity, tropical desserts will also be elevated by this sexy and sharp little number.","Spätlese","25","95","Burgenland",NULL,NULL,"Heidi Schröck 2016 Spätlese White (Burgenland)","https://www.winemag.com/buying-guide/heidi-schrock-2016-spatlese-white-burgenland/","Austrian white blend","2016","Heidi Schröck"
"6028","10","Dessert","Austria","Lime blossom tea, candied apple and an alluring edge of smoke lend extra dimensions to the nose. The palate brings forth the full force of luscious, concentrated botrytis with its generous sweetness and bundled force of balancing, spicy freshness. This possesses wonderful balance and leaves lasting, lemon-flavored sweetness.","Beerenauslese","25","95","Burgenland",NULL,NULL,"Gunter Triebaumer 2015 Beerenauslese Chardonnay (Burgenland)","https://www.winemag.com/buying-guide/gunter-triebaumer-2015-beerenauslese-chardonnay-burgenland/","Chardonnay","2015","Gunter Triebaumer"
"6034","12","Dessert","Austria","Immense concentration rises headily from the glass, projecting musk, lemon and crushed banana peel. The twin forces of sweetness and acidity then attack the palate with undiminished vigor, unraveling their power play across the tongue with notions of Mirabelle plum jam and candied lemon. Precision and vigor imbue this with longevity. Drink until 2040, at least.","Trockenbeerenauslese","29","95","Burgenland",NULL,NULL,"Rosenhof 2015 Trockenbeerenauslese Welschriesling (Burgenland)","https://www.winemag.com/buying-guide/rosenhof-2015-trockenbeerenauslese-welschriesling-burgenland/","Welschriesling","2015","Rosenhof"
"6037","9","Dessert","Germany","This is a delectably fruity, concentrated wine, full of candied orange peel, melon, peach and pineapple flavors. Sweet honey tones penetrate deeply, balanced by fresh lemon-lime acidity. Hints of green banana and a lacy, delicate coating of sugar linger long on the finish. Delicious now but structured enough to improve for decades.","Beerenauslese","55","95","Pfalz",NULL,NULL,"Pfeffingen 2016 Beerenauslese Scheurebe (Pfalz)","https://www.winemag.com/buying-guide/pfeffingen-2016-beerenauslese-scheurebe-pfalz/","Scheurebe","2016","Pfeffingen"
"6053","12","Dessert","Austria","Dark fir honey, golden cane syrup, barley sugar and boiled lemon sweets are rolled into one enticing nose. That interplay of lemon sharpness and caramel is played out on the nose already and continues with its bright, lemony zestiness on the luscious palate, creating tension and tingling freshness at the very core of the sweetest richness.","Beerenauslese Cuvée",NULL,"95","Burgenland",NULL,NULL,"Kracher 2016 Beerenauslese Cuvée White (Burgenland)","https://www.winemag.com/buying-guide/kracher-2016-beerenauslese-cuvee-white-burgenland/","Austrian white blend","2016","Kracher"
"6060","11","Dessert","Austria","Golden peach, blossom honey, candied lemon and ripe apricot already suggest the lusciousness that is to follow. The sweetness and concentration are immense, but a lively dash of orange and lemon freshness adds much needed zest and pulls this all into a lip-smacking finish. Drink until 2035.","Trockenbeerenauslese Grand Cuvée","40","95","Burgenland",NULL,NULL,"Steindorfer 2015 Trockenbeerenauslese Grand Cuvée White (Burgenland)","https://www.winemag.com/buying-guide/steindorfer-2015-trockenbeerenauslese-grand-cuvee-white-burgenland/","Austrian white blend","2015","Steindorfer"
"6066","12","Dessert","Austria","Luminous lemon freshness dominates the nose of passion fruit on this tropical Auslese. Sauvignon Blanc's varietal greenness—think tomato leaf and grass—edge and shape the wonderfully luscious midpalate, while spiky, sharp freshness delivers satisfying thrill. What lovely, flavor-bursting passion fruit tension. This crackles with life.","Wahre Werte Wechselberg Himmel Auslese","28","96","Niederösterreich",NULL,NULL,"Weixelbaum 2016 Wahre Werte Wechselberg Himmel Auslese Sauvignon Blanc (Niederösterreich)","https://www.winemag.com/buying-guide/weixelbaum-2016-wahre-werte-wechselberg-himmel-auslese-sauvignon-blanc-niederosterreich/","Sauvignon Blanc","2016","Weixelbaum"
"6074","9.5","Dessert","Austria","Purest, headiest notes of botrytis rise from the glass with all their honeyed intensity, while notes of ripe apricot and caramelized apple play in the background. The palate comes in with concentration and bundled, energetic sweetness, which carries notions of candied apricot and Mirabelle plum in its wake. This is cut by sharp, zesty and equally concentrated acidity. These united elements give an elixir-like density and liveliness to this viscous, golden liquid. Drink until 2040, at least.","Zwischen den Seen Trockenbeerenauslese Nummer 9",NULL,"96","Burgenland",NULL,NULL,"Kracher 2015 Zwischen den Seen Trockenbeerenauslese Nummer 9 Welschriesling (Burgenland)","https://www.winemag.com/buying-guide/kracher-2015-zwischen-den-seen-trockenbeerenauslese-nummer-9-welschriesling-burgenland/","Welschriesling","2015","Kracher"
"6079","9","Dessert","Austria","A smokiness lies thickly above the apple fruit notes of this heady TBA, glossing everything with a darker, brooding presence. That same smoky darkness hovers on the palate, but here the spiky, bright spur of lemon freshness breaks through triumphantly, lending drive and precision to the apricot and Mirabelle plum fruit that spreads its lusciousness across the tongue. This is rich, concentrated, intense and beautifully unusual. Drink until 2040, at least.","Trockenbeerenauslese","29","96","Burgenland",NULL,NULL,"Rosenhof 2015 Trockenbeerenauslese Chardonnay (Burgenland)","https://www.winemag.com/buying-guide/rosenhof-2015-trockenbeerenauslese-chardonnay-burgenland/","Chardonnay","2015","Rosenhof"
"6085","9.5","Dessert","Austria","There is something brisk, lifted and lemony on the nose, framed with a herbal savoriness that recalls lemon balm and the ethereal headiness of freshly crushed wild thyme. The palate opens with supremely tart and lusciously sweet flavors at the same time, filling the tongue and mind with lemon freshness. The endless and rather tingling finish still echoes with peppery verve. This is concentrated, pure, precise and precious. Thrilling is the word. Drink until 2040, at least.","Eiswein",NULL,"96","Niederösterreich",NULL,NULL,"Nigl 2016 Eiswein Grüner Veltliner (Niederösterreich)","https://www.winemag.com/buying-guide/nigl-2016-eiswein-gruner-veltliner-niederosterreich/","Grüner Veltliner","2016","Nigl"
"6094","11","Dessert","Austria","Caramelized lemon takes turns with candied lemon to entice the nose. The concentrations of both sweetness and acidity seem to potentiate each other, creating an increasing sense of joy, drama and thrill. The citrus and passion fruit flavors are of immense precision, and one drop on the tongue makes all the taste buds tingle with excitement. This is compact and impactful in all its sweet and tart glory.","Beerenauslese Exquisit","19","96","Burgenland",NULL,NULL,"H.&amp; C. Nittnaus 2015 Beerenauslese Exquisit White (Burgenland)","https://www.winemag.com/buying-guide/h-c-nittnaus-2015-beerenauslese-exquisit-white-burgenland/","Austrian white blend","2015","H.&amp; C. Nittnaus"
"6097","4.5","Dessert","Austria","Barley sugar, dark fir honey and caramel aromas gush from the glass and across the tongue. Their mellow sweetness gives glimpses of tarte tatin, white pepper and melted butter on a very concentrated, unbelievably luscious body. The finish has a fine streak of lemon. Drink till 2030.","Nummer 12",NULL,"97","Burgenland",NULL,NULL,"Kracher 2015 Nummer 12 White (Burgenland)","https://www.winemag.com/buying-guide/kracher-2015-nummer-12-white-burgenland/","Austrian white blend","2015","Kracher"
"6098","9.5","Dessert","Austria","Szechuan pepper, cold smoke and autumn leaves on the nose lead onto a lusciously sweet palate of baked plum. This is viscous and fluid, rich and brooding, with echoes of molasses and maple syrup but something hauntingly peppery and hotly shimmering in the background. Pepper and plum dominate the finish of this most unusual Zweigelt TBA. Drink until 2040, at least.","Nouvelle Vague Trockenbeerenauslese Nummer 3",NULL,"97","Burgenland",NULL,NULL,"Kracher 2015 Nouvelle Vague Trockenbeerenauslese Nummer 3 Zweigelt (Burgenland)","https://www.winemag.com/buying-guide/kracher-2015-nouvelle-vague-trockenbeerenauslese-nummer-3-zweigelt-burgenland/","Zweigelt","2015","Kracher"
"6102","10","Dessert","Austria","The purest scent of ripe apricot on the nose unfolds in even more spectacular fashion on the luscious palate. The flavors are carried by the immense, concentrated sweetness but are outlined and put into sharp focus by the crystalline acidity. This is sublimely pure and intense.","Eiswein","25","97","Niederösterreich",NULL,NULL,"Türk 2016 Eiswein Grüner Veltliner (Niederösterreich)","https://www.winemag.com/buying-guide/turk-2016-eiswein-gruner-veltliner-niederosterreich/","Grüner Veltliner","2016","Türk"
"6104","10.5","Dessert","Austria","The nose of this wine offers heady touches of peony, vanilla, plum and oak leaf. The concentrated palate brings plum, pepper and a slight phenolic edge that helps the acidity corral all of the luscious flavors into a rounded dollop of deliciousness. Drink until 2040.","Trockenbeerenauslese","45","97","Niederösterreich",NULL,NULL,"Hager Matthias 2015 Trockenbeerenauslese Zweigelt (Niederösterreich)","https://www.winemag.com/buying-guide/hager-matthias-2015-trockenbeerenauslese-zweigelt-niederosterreich/","Zweigelt","2015","Hager Matthias"
"6110","10.5","Dessert","Austria","A touch of creaminess on the nose leads to a mellow palate full of honeyed baked apple fruit. There is a hint of vanilla and a bright, almost piercing gleam of wonderful lemon sharpness, putting the creamy decadence of the palate into even more focus. This has ultimate concentration and finishes with such zesty vigor. This is built to last. Drink until 2040, at least.","Trockenbeerenauslese Grand Selection","45","97","Burgenland",NULL,NULL,"H.&amp; C. Nittnaus 2015 Trockenbeerenauslese Grand Selection Chardonnay (Burgenland)","https://www.winemag.com/buying-guide/h-c-nittnaus-2015-trockenbeerenauslese-grand-selection-chardonnay-burgenland/","Chardonnay","2015","H.&amp; C. Nittnaus"
