"varietal","average_price_varietal"
"Susumaniello","                30.75"
"Sumoll","                30.00"
"Steen","                 8.33"
"St. Vincent","                24.00"
"St. Laurent","                33.75"
"St. George","                11.33"
"Spätburgunder","                61.24"
"Sparkling Blend","                29.46"
"Souzao","                30.00"
"Sousão","                38.63"
"Sirica","                32.00"
"Siria","                17.71"
"Silvaner-Traminer","                25.00"
"Silvaner","                38.90"
"Siegerrebe","                14.00"
"Sideritis","                23.00"
"Shiraz-Viognier","                43.53"
"Shiraz-Tempranillo","                 9.86"
"Shiraz-Roussanne","                29.00"
"Shiraz-Pinotage","                11.20"
"Shiraz-Mourvèdre","                19.20"
"Shiraz-Merlot","                10.00"
"Shiraz-Malbec","                14.83"
"Shiraz-Grenache","                21.27"
"Shiraz-Cabernet Sauvignon","                20.21"
"Shiraz-Cabernet","                19.00"
"Shiraz","                36.04"
"Sherry","                31.75"
"Seyval Blanc","                21.29"
"Sercial","               142.20"
"Semillon-Sauvignon Blanc","                25.26"
"Semillon-Chardonnay","                 9.42"
"Sémillon","                21.89"
"Segalin","                10.00"
"Sciaccerellu","                45.50"
"Schwartzriesling","                25.00"
"Schioppettino","                30.67"
"Schiava","                18.42"
"Scheurebe","                45.63"
"Savatiano","                13.78"
"Savagnin","                45.11"
"Sauvignonasse","                25.00"
"Sauvignon Musqué","                31.00"
"Sauvignon Gris","                21.16"
"Sauvignon Blanc-Verdejo","                12.00"
"Sauvignon Blanc-Semillon","                23.17"
"Sauvignon Blanc-Sauvignon Gris","                45.00"
"Sauvignon Blanc-Chenin Blanc","                15.83"
"Sauvignon Blanc-Chardonnay","                18.73"
"Sauvignon Blanc-Assyrtiko","                20.00"
"Sauvignon Blanc","                19.38"
"Sauvignon-Sémillon","                12.00"
"Sauvignon","                25.67"
"Sarba","                10.00"
"Saperavi-Merlot","                17.50"
"Saperavi","                20.58"
"Sangiovese Grosso","                67.71"
"Sangiovese Cabernet","                46.33"
"Sangiovese-Syrah","                48.67"
"Sangiovese-Cabernet Sauvignon","                33.38"
"Sangiovese","                42.17"
"Sämling","                30.25"
"Saint Jeannet","                13.00"
"Sagrantino","                50.63"
"Sacy","                19.00"
"Ryzlink Rýnský","                40.00"
"Rufete","                19.25"
"Ruen","                15.00"
"Ruché","                27.42"
"Rubin","                36.00"
"Roviello","                28.00"
"Roussanne-Viognier","                28.05"
"Roussanne-Marsanne","                32.14"
"Roussanne-Grenache Blanc","                18.00"
"Roussanne","                27.73"
"Rotgipfler","                29.65"
"Roter Veltliner","                30.29"
"Roter Traminer","                33.00"
"Rosenmuskateller","               150.00"
"Rosé","                17.97"
"Roscetto","                24.00"
"Rosato","                17.69"
"Rosado","                13.23"
"Romorantin","                22.40"
"Rolle","                23.22"
"Roditis-Moschofilero","                11.00"
"Roditis","                13.37"
"Robola","                19.29"
"Rkatsiteli","                21.06"
"Rivaner","                14.50"
"Riesling-Muscat","                12.00"
"Riesling-Chardonnay","                40.00"
"Riesling","                30.90"
"Rieslaner","                40.40"
"Ribolla Gialla","                27.41"
"Rhône-style White Blend","                30.49"
"Rhône-style Red Blend","                32.21"
"Refosco","                35.22"
"Red Blend","                35.30"
"Rebula","                22.67"
"Rebo","                27.00"
"Raspberry","                14.00"
"Rara Neagra","                17.67"
"Ranchita Canyon","                18.00"
"Ramisco","               314.00"
"Raboso","                24.78"
"Rabigato","                33.00"
"Pugnitello","                54.00"
"Prunelard","                20.00"
"Prugnolo Gentile","                40.53"
"Provence white blend","                23.77"
"Provence red blend","                30.38"
"Prosecco","                18.31"
"Prokupac","                21.00"
"Primitivo-Susumaniello","                22.00"
"Primitivo","                23.62"
"Prieto Picudo","                28.85"
"Prié Blanc","                23.25"
"Premsal","                15.00"
"Poulsard","                26.00"
"Posip","                27.00"
"Portuguiser","                15.00"
"Portuguese White","                15.76"
"Portuguese Sparkling","                17.47"
"Portuguese Rosé","                17.50"
"Portuguese Red","                24.97"
"Port","                60.90"
"Plyto","                19.50"
"Plavac Mali","                35.35"
"Piquepoul Blanc","                13.00"
"Pinotage-Merlot","                10.00"
"Pinotage","                20.86"
"Pinot Noir-Tannat","                20.00"
"Pinot Noir-Syrah","                32.00"
"Pinot Noir-Gamay","                18.32"
"Pinot Noir","                46.03"
"Pinot Nero","                34.87"
"Pinot Meunier","                47.14"
"Pinot Gris-Gewürztraminer","                20.00"
"Pinot Gris","                22.93"
"Pinot Grigio-Sauvignon Blanc","                35.00"
"Pinot Grigio-Chardonnay","                10.00"
"Pinot Grigio","                15.33"
"Pinot Blanc-Viognier","                19.00"
"Pinot Blanc-Pinot Noir","                17.00"
"Pinot Blanc-Chardonnay","                24.20"
"Pinot Blanc","                19.90"
"Pinot Bianco","                24.71"
"Pinot Auxerrois","                23.62"
"Pinot-Chardonnay","                40.50"
"Pineau d'Aunis","                16.00"
"Pignolo","                52.33"
"Pignoletto","                16.33"
"Pigato","                22.00"
"Piedirosso","                21.46"
"Pied de Perdrix","                13.00"
"Picpoul Blanc","                25.33"
"Picpoul","                21.38"
"Picolit","                70.00"
"Picapoll","                22.00"
"Petroulianos","                25.00"
"Petite Syrah","                40.00"
"Petite Sirah","                30.19"
"Petite Arvine","                30.00"
"Petit Verdot","                38.75"
"Petit Meslier",NULL
"Petit Manseng","                31.39"
"Petit Courbu","                19.00"
"Perricone","                24.53"
"Pelaverga Piccolo","                28.00"
"Pedro Ximénez","                31.14"
"Pecorino","                22.00"
"Passerina","                17.16"
"Parraleta","                13.50"
"Pardina","                11.00"
"Paralleda","                 9.33"
"Papaskarasi","                22.00"
"Pansa Blanca","                17.39"
"Palomino","                39.76"
"Pallagrello Nero","                46.00"
"Pallagrello Bianco","                30.43"
"Pallagrello","                32.62"
"País","                19.33"
"Otskhanuri Sapere","                30.00"
"Other","                27.00"
"Oseleta","               100.00"
"Ortega","                14.00"
"Orangetraube","                22.33"
"Orange Muscat","                19.18"
"Ondenc","                16.50"
"Olasrizling","                25.00"
"Okuzgozu","                23.18"
"Ojaleshi","                18.00"
"Nuragus","                15.80"
"Nosiola","                29.33"
"Norton","                24.08"
"Nielluciu","                21.00"
"Nieddera","                20.00"
"Neuburger","                30.55"
"Nero di Troia","                31.36"
"Nero d'Avola","                23.46"
"Nerello Mascalese","                41.71"
"Nerello Cappuccio","                32.11"
"Negroamaro","                19.07"
"Negrette","                20.04"
"Nebbiolo","                67.04"
"Nasco","                45.00"
"Nascetta","                27.00"
"Narince","                21.40"
"Muskateller","                26.63"
"Muskat Ottonel","                21.96"
"Muskat","                20.50"
"Muscatel","                15.33"
"Muscat Ottonel","                52.25"
"Muscat of Alexandria","                15.60"
"Muscat Hamburg","                18.75"
"Muscat d'Alexandrie","                17.17"
"Muscat Canelli","                18.78"
"Muscat Blanc à Petits Grains","                20.56"
"Muscat Blanc","                24.45"
"Muscat-Viognier","                12.00"
"Muscat","                30.27"
"Muscadine","                22.50"
"Muscadet","                 9.67"
"Muscadelle","               112.87"
"Muscadel","                88.33"
"Müller-Thurgau","                19.42"
"Mtsvane","                24.29"
"Mourvèdre-Syrah","                47.75"
"Mourvèdre","                33.44"
"Moscofilero","                14.00"
"Moschofilero-Chardonnay","                13.00"
"Moschofilero","                15.36"
"Moscato Rosa","                54.33"
"Moscato Giallo","                21.88"
"Moscato di Scanzo","                62.00"
"Moscato di Noto","                40.00"
"Moscato","                16.00"
"Moscatel Roxo","                27.60"
"Moscatel Graúdo","                13.00"
"Moscatel Galego Branco","                25.00"
"Moscatel de Alejandría","                18.67"
"Moscatel","                31.35"
"Moscadello","                38.25"
"Moristel","                11.67"
"Morio Muskat","                16.33"
"Morillon","                33.25"
"Moreto","                30.00"
"Morava","                26.00"
"Montepulciano","                25.17"
"Monica","                21.75"
"Mondeuse","                28.90"
"Monastrell-Syrah","                17.19"
"Monastrell-Petit Verdot","                23.00"
"Monastrell-Cabernet Sauvignon","                15.00"
"Monastrell","                18.54"
"Molinara","                20.50"
"Mission","                50.50"
"Misket","                19.00"
"Minutolo","                18.00"
"Meseguera","                24.00"
"Merseguera-Sauvignon Blanc","                 9.50"
"Merlot-Tannat","                18.33"
"Merlot-Syrah","                30.88"
"Merlot-Shiraz","                14.33"
"Merlot-Petite Verdot","                20.00"
"Merlot-Malbec","                26.11"
"Merlot-Grenache","                10.50"
"Merlot-Cabernet Sauvignon","                27.69"
"Merlot-Cabernet Franc","                41.89"
"Merlot-Cabernet","                17.81"
"Merlot-Argaman","                13.00"
"Merlot","                26.69"
"Meritage","                38.18"
"Meoru","                11.00"
"Mencía","                28.65"
"Melon de Bourgogne","                19.37"
"Melon","                16.63"
"Melnik","                18.00"
"Mazuelo","                60.67"
"Mavrud","                16.57"
"Mavroudi","                16.00"
"Mavrotragano","                50.00"
"Mavrokalavryta","                15.00"
"Mavrodaphne","                14.00"
"Mauzac","                17.77"
"Maturana Blanca","                22.00"
"Maturana","                57.50"
"Mataro","                48.50"
"Marzemino","                38.50"
"Marselan","                28.50"
"Marsanne-Viognier","                30.00"
"Marsanne-Roussanne","                28.66"
"Marsanne","                36.69"
"Marquette","                22.88"
"Maria Gomes-Bical","                25.00"
"Maria Gomes","                12.80"
"Maréchal Foch","                14.00"
"Marawi","                35.00"
"Manzoni","                22.33"
"Mantonico","                28.40"
"Mansois","                15.50"
"Manseng Noir","                22.00"
"Mandilaria","                24.25"
"Malvoisie","                14.00"
"Malvazija","                19.00"
"Malvasia Nera","                29.17"
"Malvasia Istriana","                19.36"
"Malvasia Fina","                22.17"
"Malvasia di Candia","                22.50"
"Malvasia Bianca","                21.04"
"Malvasia-Viura","                15.75"
"Malvasia","                32.12"
"Malvar","                21.00"
"Malmsey","                29.00"
"Malbec Blend","                47.71"
"Malbec-Tempranillo","                19.67"
"Malbec-Tannat","                29.91"
"Malbec-Syrah","                16.55"
"Malbec-Petit Verdot","                43.00"
"Malbec-Merlot","                19.88"
"Malbec-Corvina","                18.00"
"Malbec-Carménère","                57.50"
"Malbec-Cabernet Sauvignon","                36.56"
"Malbec-Cabernet Franc","                38.00"
"Malbec-Cabernet","                90.00"
"Malbec-Bonarda","                15.78"
"Malbec","                28.74"
"Malagouzia-Chardonnay","                 8.00"
"Malagouzia","                20.40"
"Malagousia","                20.67"
"Magliocco","                29.60"
"Madeleine Angevine","                17.50"
"Madeira Blend","                35.86"
"Macabeo-Moscatel","                 7.50"
"Macabeo-Gewürztraminer","                10.00"
"Macabeo-Chardonnay","                11.14"
"Macabeo","                15.67"
"Loureiro-Arinto","                10.00"
"Loureiro","                12.80"
"Loin de l'Oeil","                27.33"
"Listán Negro","                32.50"
"Liebfraumilch","                 6.00"
"Lidia","                15.00"
"Lemberger-Cabernet","                12.50"
"Lemberger","                19.97"
"Lambrusco Salamino","                15.33"
"Lambrusco Grasparossa","                18.16"
"Lambrusco di Sorbara","                20.57"
"Lambrusco","                16.04"
"Lagrein-Dolcetto","                26.00"
"Lagrein","                31.05"
"Lacrima","                17.00"
"Kuntra","                15.00"
"Kotsifali","                13.00"
"Koshu","                24.00"
"Kisi","                19.80"
"Királyleányka","                 9.00"
"Kinali Yapincak","                15.00"
"Kerner","                23.72"
"Kekfrankos","                27.08"
"Karasakiz","                15.00"
"Karalahna","                15.00"
"Kangoun","                14.00"
"Kallmet","                20.00"
"Kalecik Karasi","                24.38"
"Kadarka","                21.25"
"Juhfark","                28.00"
"Johannisberg Riesling","                11.64"
"Johannisberg","                30.00"
"Jampal","                25.00"
"Jaen","                29.10"
"Jacquez","                41.60"
"Jacquère","                17.36"
"Irsai Oliver","                13.00"
"Inzolia","                15.51"
"Insolia","                16.86"
"Incrocio Manzoni","                24.75"
"Huxelrebe","                37.00"
"Hondarrabi Zuri","                21.32"
"Hárslevelü","                19.33"
"Grüner Veltliner","                29.11"
"Gros Plant","                16.00"
"Gros Manseng","                16.38"
"Gros and Petit Manseng","                21.02"
"Groppello","                18.00"
"Grolleau","                22.25"
"Grillo","                16.93"
"Grignolino","                18.67"
"Grenache Noir","                29.63"
"Grenache Gris","                33.00"
"Grenache Blend","                28.15"
"Grenache Blanc","                25.56"
"Grenache-Syrah","                27.91"
"Grenache-Shiraz","                22.37"
"Grenache-Mourvèdre","                35.38"
"Grenache-Carignan","                27.00"
"Grenache","                35.15"
"Greco Bianco","                17.67"
"Greco","                26.01"
"Grechetto","                17.10"
"Grecanico","                19.57"
"Grauburgunder","                23.42"
"Grasparossa di Castelvetro","                26.00"
"Graševina","                24.00"
"Gragnano","                14.67"
"Graciano","                40.64"
"Gouveio","                22.50"
"Godello","                22.25"
"Glera","                20.22"
"Gewürztraminer-Riesling","                24.09"
"Gewürztraminer","                26.02"
"Gelber Traminer","                35.00"
"Gelber Muskateller","                25.94"
"Garnatxa Blanca","                14.00"
"Garnatxa","                17.50"
"Garnacha Tintorera","                13.43"
"Garnacha Blend","                23.00"
"Garnacha Blanca","                18.08"
"Garnacha-Tempranillo","                12.20"
"Garnacha-Syrah","                12.79"
"Garnacha-Monastrell","                11.67"
"Garnacha-Graciano","                42.75"
"Garnacha-Cariñena","                57.00"
"Garnacha-Cabernet","                19.00"
"Garnacha","                20.17"
"Garganega","                20.48"
"Gamza","                11.00"
"Gamay Noir","                24.31"
"Gamay","                20.99"
"Gaglioppo","                18.81"
"G-S-M","                33.05"
"Furmint","                41.62"
"Fumin","                30.00"
"Fumé Blanc","                19.57"
"Fumé-Chardonnay","                10.00"
"Früburgunder","                40.00"
"Friulano","                23.23"
"Freisa","                18.75"
"Frappato","                21.82"
"Frankovka","                24.00"
"Franconia","                16.00"
"Francisa","               160.00"
"Forcallà","                27.00"
"Folle Blanche","                16.50"
"Foglia Tonda","                75.00"
"Flora","                32.00"
"Fiano Bianco","                16.00"
"Fiano","                27.26"
"Feteascǎ Regalǎ","                10.83"
"Feteasca Neagra","                19.25"
"Feteasca","                14.50"
"Fernão Pires","                20.69"
"Fer Servadou","                18.00"
"Favorita","                22.25"
"Falanghina","                20.90"
"Espadeiro",NULL
"Erbaluce","                26.11"
"Encruzado","                22.96"
"Enantio",NULL
"Emir","                16.33"
"Elbling","                16.00"
"Ekigaïna","                15.00"
"Ehrenfelser","                20.00"
"Edelzwicker","                18.40"
"Durif","                30.80"
"Durello","                22.00"
"Durella","                33.39"
"Duras","                21.33"
"Dorona",NULL
"Dornfelder","                17.68"
"Doña Blanca","                50.50"
"Dolcetto","                20.34"
"Diamond","                10.00"
"Debit","                49.00"
"Dafni","                20.00"
"Cserszegi Fűszeres","                 9.00"
"Crespiello","                52.00"
"Counoise","                30.29"
"Côt","                31.67"
"Corvina","                48.87"
"Cortese","                19.89"
"Cordisco",NULL
"Colorino","                39.33"
"Colombard-Ugni Blanc","                10.33"
"Colombard-Sauvignon Blanc","                11.24"
"Colombard","                16.24"
"Códega do Larinho","                18.00"
"Coda di Volpe","                18.67"
"Cococciola","                23.00"
"Claret","                44.21"
"Clairette","                34.10"
"Cinsault","                25.32"
"Ciliegiolo","                29.22"
"Chinuri","                25.33"
"Chenin Blanc-Viognier","                15.56"
"Chenin Blanc-Verdelho","                35.00"
"Chenin Blanc-Sauvignon Blanc","                10.50"
"Chenin Blanc-Chardonnay","                13.95"
"Chenin Blanc","                22.23"
"Chelois","                22.50"
"Chasselas","                25.19"
"Chardonnay Weissburgunder","                41.50"
"Chardonnay-Viognier","                14.91"
"Chardonnay-Semillon","                17.30"
"Chardonnay-Sauvignon Blanc","                15.57"
"Chardonnay-Sauvignon","                11.43"
"Chardonnay-Riesling","                24.00"
"Chardonnay-Pinot Gris","                15.00"
"Chardonnay-Pinot Grigio","                 9.50"
"Chardonnay-Pinot Blanc","                39.00"
"Chardonnay-Macabeo","                10.00"
"Chardonnay-Albariño","                31.00"
"Chardonnay","                32.47"
"Chardonelle","                30.00"
"Chardonel","                11.00"
"Charbono","                31.15"
"Chancellor","                29.00"
"Champagne Blend","                67.86"
"Chambourcin","                18.19"
"Cesanese d'Affile","                23.83"
"Cesanese","                20.00"
"Cercial","                50.00"
"Cerceal","                41.00"
"Centesimino","                36.00"
"Cencibel","                18.86"
"Cayuga","                18.33"
"Catarratto","                19.08"
"Catalanesca","                26.00"
"Castelão","                16.31"
"Casavecchia","                43.88"
"Carricante","                37.16"
"Carnelian","                13.50"
"Carmenère-Syrah","                19.25"
"Carmenère-Cabernet Sauvignon","                25.40"
"Carmenère","                21.07"
"Cariñena-Garnacha","                44.25"
"Carineña","                19.71"
"Carignano","                35.80"
"Carignane","                25.43"
"Carignan-Syrah","                46.25"
"Carignan-Grenache","                31.36"
"Carignan","                40.50"
"Carcajolu","                21.00"
"Caprettone","                19.20"
"Cannonau","                28.98"
"Canaiolo","                40.67"
"Camarlet","                25.00"
"Çalkarası","                19.00"
"Caladoc","                17.50"
"Cagnulari","                17.00"
"Cabernet Sauvignon Grenache","                15.67"
"Cabernet Sauvignon and Tinta Roriz","                 8.00"
"Cabernet Sauvignon-Tempranillo","                12.86"
"Cabernet Sauvignon-Syrah","                35.37"
"Cabernet Sauvignon-Shiraz","                25.60"
"Cabernet Sauvignon-Sangiovese","                36.97"
"Cabernet Sauvignon-Petit Verdot","                16.00"
"Cabernet Sauvignon-Mourvèdre","                48.00"
"Cabernet Sauvignon-Merlot-Shiraz","                19.60"
"Cabernet Sauvignon-Merlot","                25.35"
"Cabernet Sauvignon-Malbec","                41.18"
"Cabernet Sauvignon-Feteasca Neagra","                14.00"
"Cabernet Sauvignon-Carmenère","                23.76"
"Cabernet Sauvignon-Cabernet Franc","                44.07"
"Cabernet Sauvignon-Barbera","                42.50"
"Cabernet Sauvignon","                44.95"
"Cabernet Pfeffer","                38.33"
"Cabernet Moravia","                18.00"
"Cabernet Merlot","                20.98"
"Cabernet Gernischt","                30.00"
"Cabernet Franc-Tempranillo","                18.00"
"Cabernet Franc-Petit Verdot","                13.00"
"Cabernet Franc-Merlot","                50.88"
"Cabernet Franc-Malbec","                45.43"
"Cabernet Franc-Lemberger","                20.00"
"Cabernet Franc-Carmenère","                16.63"
"Cabernet Franc-Cabernet Sauvignon","                33.67"
"Cabernet Franc","                33.98"
"Cabernet Blend","                55.65"
"Cabernet-Syrah","                26.24"
"Cabernet-Shiraz","                96.50"
"Cabernet-Malbec","                11.00"
"Cabernet","                19.67"
"Bukettraube","                18.00"
"Bual","               117.67"
"Braucol","                29.86"
"Brachetto","                18.43"
"Bovale","                35.00"
"Bouvier","                29.00"
"Bouchet","                30.67"
"Bordeaux-style White Blend","                34.66"
"Bordeaux-style Red Blend","                49.53"
"Bonarda","                15.70"
"Bombino Nero","                11.00"
"Bombino Bianco","                20.40"
"Bogdanjuša","                17.00"
"Boğazkere","                24.80"
"Bobal-Tempranillo","                12.00"
"Bobal-Cabernet Sauvignon","                 9.00"
"Bobal","                18.95"
"Boal","               180.00"
"Blaufränkisch","                33.58"
"Blauer Wildbacher","                13.00"
"Blauer Portugieser","                15.40"
"Blauburgunder","                19.00"
"Blauburger","                17.00"
"Blatina","                12.50"
"Blanc du Bois","                27.00"
"Black Muscat","                22.33"
"Black Monukka","                25.00"
"Bical","                15.07"
"Biancu Gentile","                36.00"
"Biancolella","                26.00"
"Biancale","                18.00"
"Bastardo","                25.25"
"Barbera-Nebbiolo","                30.00"
"Barbera","                25.78"
"Baga-Touriga Nacional","                40.00"
"Baga","                34.70"
"Baco Noir","                26.17"
"Bacchus",NULL
"Babosa Negro","                45.00"
"Babić","                35.00"
"Băbească neagră","                15.00"
"Azal","                14.00"
"Avesso","                16.46"
"Auxerrois","                22.94"
"Austrian white blend","                30.75"
"Austrian Red Blend","                35.92"
"Athiri","                16.00"
"Assyrtiko-Sauvignon Blanc","                21.00"
"Assyrtiko","                23.77"
"Assyrtico","                22.77"
"Asprinio","                23.50"
"Arneis","                20.81"
"Arinto-Chardonnay","                17.50"
"Arinto","                16.63"
"Argaman","                40.67"
"Areni","                33.67"
"Aragonez","                25.89"
"Aragonês","                26.27"
"Apple","                25.60"
"Antão Vaz","                21.58"
"Ansonica","                23.33"
"Angevine","                12.25"
"Alvarinho-Trajadura","                11.50"
"Alvarinho-Chardonnay","                11.50"
"Alvarinho","                18.51"
"Alvarelhão","                19.75"
"Altesse","                17.45"
"Alsace white blend","                33.00"
"Aligoté","                19.20"
"Alicante Bouschet","                29.65"
"Alicante","                23.67"
"Alfrocheiro","                28.00"
"Aleatico","                35.33"
"Alcamo","                10.00"
"Albillo","                20.00"
"Albarossa","                35.00"
"Albariño","                21.06"
"Albarín","                15.00"
"Albanello","                20.00"
"Albana","                25.82"
"Airen","                12.22"
"Aidani","                28.50"
"Aglianico","                37.80"
"Agiorgitiko","                20.54"
"Abouriou","                28.00"
"$17 ","                17.00"
"$12 ","                12.00"
